City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,sterling,39.0062,-77.4286,84.22,65,0,6.91,US,1693884553
128,masterton,-40.9597,175.6575,63.88,76,88,6.71,NZ,1693884571
129,general pinedo,-27.3167,-61.2833,56.98,83,100,4.0,AR,1693884571
130,tofol,5.3248,163.0078,85.78,74,75,3.44,FM,1693884572
131,ghat,24.9647,10.1728,88.93,19,0,4.72,LY,1693884572
132,teshi old town,5.5836,-0.1072,75.7,90,100,10.74,GH,1693884572
133,saudarkrokur,65.7461,-19.6394,44.76,85,93,14.05,IS,1693884572
134,yuci,37.6803,112.7319,80.35,47,0,8.95,CN,1693884572
135,tralee,52.2704,-9.7026,63.5,95,47,7.16,IE,1693884573
136,la ronge,55.1001,-105.2842,50.25,76,75,9.22,CA,1693884573
137,sao vicente,-23.9631,-46.3919,90.27,26,100,1.99,BR,1693884343
138,guanare,9.0418,-69.7421,72.95,97,37,4.05,VE,1693884573
139,austin,30.2672,-97.7431,92.66,57,0,16.11,US,1693884196
140,san pedro pochutla,15.7333,-96.4667,77.72,92,98,4.0,MX,1693884574
141,severo-yeniseyskiy,60.3725,93.0408,58.8,68,2,2.17,RU,1693884574
142,cooma,-36.2333,149.1333,55.33,35,0,17.98,AU,1693884575
143,mangai,-4.05,19.5333,69.57,95,73,1.86,CD,1693884575
144,akrehamn,59.2667,5.1833,61.41,88,86,8.05,NO,1693884575
145,valparaiso,-33.0393,-71.6273,51.44,93,75,6.91,CL,1693884378
146,tazacorte,28.629,-17.9293,72.57,82,0,5.75,ES,1693884576
147,smithers,54.7804,-127.1743,50.32,87,100,3.44,CA,1693884576
148,manta,-0.95,-80.7333,78.01,78,75,11.01,EC,1693884307
149,novocherkassk,47.4181,40.0939,68.05,77,40,15.66,RU,1693884334
150,qamdo,31.1667,97.2333,53.49,50,38,3.89,CN,1693884577
151,longyearbyen,78.2186,15.6401,42.64,100,100,2.3,SJ,1693884577
152,san jose del guaviare,2.5729,-72.6459,73.92,96,96,1.34,CO,1693884577
153,santa maria del oro,25.9333,-105.3667,71.67,26,2,7.92,MX,1693884577
154,boguchany,58.3814,97.4531,63.3,51,100,2.42,RU,1693884577
155,kalmunai,7.4167,81.8167,79.72,74,100,2.98,LK,1693884578
156,vilyuysk,63.7553,121.6247,57.34,44,100,7.81,RU,1693884578
157,san mateo del mar,16.2,-95.0,84.06,73,100,1.72,MX,1693884578
158,quellon,-43.1167,-73.6167,34.05,100,17,0.0,CL,1693884578
159,tobol'sk,58.2,68.2667,48.58,71,100,8.41,RU,1693884579
160,bac lieu,9.285,105.7244,82.2,78,99,11.01,VN,1693884579
161,arar,30.9753,41.0381,80.62,14,0,5.75,SA,1693884579
162,kirensk,57.7853,108.1119,63.9,46,48,6.11,RU,1693884580
163,queenstown,-31.8976,26.8753,46.99,74,87,1.99,ZA,1693884580
164,gornopravdinsk,60.05,69.9,47.16,75,75,5.37,RU,1693884580
165,bonthe,7.5264,-12.505,76.28,88,100,11.83,SL,1693884580
166,ascension,30.2169,-90.9001,81.07,89,0,3.44,US,1693884581
167,utrik,11.2278,169.8474,83.7,76,65,12.26,MH,1693884581
168,dakhla,23.6848,-15.958,69.13,86,48,16.42,EH,1693884581
169,nogliki,51.8333,143.1667,59.76,88,97,10.07,RU,1693884579
170,aasiaat,68.7098,-52.8699,37.2,95,100,6.33,GL,1693884582
171,trinidad,-14.8333,-64.9,83.64,48,100,1.3,BO,1693884582
172,ponnampet,12.15,75.9333,68.59,91,100,4.94,IN,1693884582
173,tura,25.5198,90.2201,85.53,74,91,0.74,IN,1693884582
174,mont-dore,-22.2833,166.5833,80.58,99,41,8.3,NC,1693884583
175,wailua homesteads,22.0669,-159.378,81.39,78,20,6.91,US,1693884583
176,lewistown,40.5992,-77.5714,76.15,83,0,3.22,US,1693884064
177,bechar,31.6167,-2.2167,75.52,16,0,4.61,DZ,1693884580
178,novodvinsk,64.4165,40.8122,53.35,91,100,8.12,RU,1693884584
179,dunedin,-45.8742,170.5036,53.8,73,15,8.01,NZ,1693884584
180,cabo san lucas,22.8909,-109.9124,88.61,80,20,7.0,MX,1693884584
181,tarko-sale,64.9225,77.785,43.0,72,62,3.0,RU,1693884585
182,kudahuvadhoo,2.6708,72.8944,81.91,75,100,9.35,MV,1693884585
183,abadeh,31.1608,52.6506,72.12,18,21,1.19,IR,1693884585
184,zhezqazghan,47.7833,67.7667,52.38,87,75,6.71,KZ,1693884585
185,farah,32.5,62.5,74.66,19,0,5.08,AF,1693884585
186,nuuk,64.1835,-51.7216,45.21,93,100,29.93,GL,1693884585
187,daulatpur,26.5015,67.9706,86.29,61,0,3.94,PK,1693884586
188,biltine,14.5333,20.9167,82.62,56,46,5.66,TD,1693884586
189,sinjai,-5.1241,120.253,85.06,52,44,9.4,ID,1693884586
190,oranjemund,-28.55,16.4333,53.56,75,100,11.88,NA,1693884586
191,sao jose da coroa grande,-8.8978,-35.1478,74.43,86,3,10.31,BR,1693884587
192,whitehorse,60.7161,-135.0538,54.37,65,75,5.75,CA,1693884587
193,arraial do cabo,-22.9661,-42.0278,71.76,89,100,24.43,BR,1693884587
194,soe,-9.8607,124.284,83.55,24,57,8.1,ID,1693884587
195,mankono,8.0586,-6.1897,69.35,97,68,5.14,CI,1693884587
196,eforie sud,44.0229,28.6494,67.01,64,34,23.64,RO,1693884588
197,enriquillo,17.9,-71.2333,80.69,86,94,6.69,DO,1693884588
198,kotel'nikovo,47.6317,43.1461,70.84,37,100,11.83,RU,1693884589
199,ha giang,22.8333,104.9833,89.67,57,54,2.13,VN,1693884589
200,polyarnyy,69.1989,33.4478,50.31,88,100,17.18,RU,1693884589
201,labasa,-16.4167,179.3833,82.22,61,39,10.33,FJ,1693884589
202,west island,-12.1568,96.8225,80.58,69,99,13.8,CC,1693884590
203,lae,-6.7221,146.9847,83.08,64,72,7.65,PG,1693884590
204,turpan,42.9333,89.1667,87.75,27,80,4.68,CN,1693884590
205,aras-asan,8.8908,126.3033,87.1,66,92,6.58,PH,1693884590
206,juneau,58.3019,-134.4197,53.6,95,100,3.44,US,1693884303
207,beloyarskiy,63.7119,66.6722,46.99,59,59,1.99,RU,1693884591
208,carutapera,-1.195,-46.02,78.22,83,10,6.98,BR,1693884591
209,prince rupert,54.3161,-130.3201,53.29,95,100,10.36,CA,1693884511
210,collie,-33.3667,116.15,59.85,75,60,13.24,AU,1693884591
211,carnarvon,-24.8667,113.6333,68.4,52,4,14.09,AU,1693884592
212,bairnsdale,-37.8333,147.6167,55.42,61,54,14.29,AU,1693884592
213,caleta de carquin,-11.0925,-77.6267,65.62,83,60,12.62,PE,1693884592
214,olvera,36.9584,-5.2489,60.75,69,100,0.67,ES,1693884592
215,labrador city,52.9463,-66.9114,46.31,93,0,3.44,CA,1693884592
216,ushuaia,-54.8,-68.3,33.46,64,75,8.05,AR,1693884435
217,haiku-pauwela,20.9219,-156.3051,82.17,68,40,12.66,US,1693884593
